differential_level,Amplitude,Mean,Std Dev
0.4784314,57.81942469,5.73E-06,5.50E-08
0.48235297,56.81606728,5.68E-06,5.83E-08
0.48627454,58.61828177,5.62E-06,5.69E-08
0.49019611,54.24204399,5.56E-06,5.80E-08
0.49411768,60.38476688,5.49E-06,5.66E-08
0.49803925,57.62118149,5.41E-06,5.39E-08
0.50196075,58.45337773,5.34E-06,5.96E-08
0.50588232,56.83283661,5.26E-06,5.70E-08
0.50980389,52.37700474,5.18E-06,5.81E-08
0.51372546,58.08533447,5.09E-06,5.58E-08
0.51764703,53.04976553,5.00E-06,5.91E-08
0.5215686,55.28477733,4.90E-06,6.14E-08
0.52549016,57.49450317,4.79E-06,5.99E-08
0.52941173,58.97591301,4.69E-06,6.46E-08
0.5333333,55.24365238,4.59E-06,6.18E-08
0.53725487,55.75111333,4.48E-06,6.44E-08
0.54117644,57.33975122,4.37E-06,5.92E-08
0.54509801,54.1450321,4.25E-06,5.75E-08
0.54901958,55.21797417,4.13E-06,5.60E-08
0.55294114,57.16785667,4.01E-06,5.98E-08
0.55686271,55.93366715,3.88E-06,5.78E-08
0.56078428,56.76419542,3.75E-06,5.48E-08
0.56470585,56.73433897,3.62E-06,5.32E-08
0.56862742,57.84656208,3.49E-06,5.43E-08
0.57254899,56.24213578,3.36E-06,5.23E-08
0.57647055,58.65719128,3.22E-06,5.14E-08
0.58039212,57.49211765,3.08E-06,5.02E-08
0.58431369,56.1828917,2.94E-06,4.73E-08
0.58823526,56.77316793,2.80E-06,4.66E-08
0.59215683,57.72976019,2.67E-06,4.42E-08
0.5960784,56.33893119,2.52E-06,4.38E-08
0.59999996,59.26197011,2.38E-06,4.03E-08
0.60392153,55.82479311,2.24E-06,3.92E-08
0.6078431,53.61639589,2.10E-06,3.51E-08
0.61176467,55.14213622,1.95E-06,3.26E-08
0.61568624,55.0715031,1.81E-06,3.10E-08
0.61960781,58.69501266,1.67E-06,2.82E-08
0.62352937,57.44566432,1.53E-06,2.71E-08
0.62745094,56.47164393,1.40E-06,2.55E-08
0.63137257,59.9468676,1.26E-06,2.33E-08
0.63529408,60.96721122,1.13E-06,2.15E-08
0.63921571,63.60368259,1.01E-06,1.98E-08
0.64313722,69.88089147,8.88E-07,1.74E-08
0.64705884,74.7440479,7.72E-07,1.49E-08
0.65098035,77.86310676,6.63E-07,1.37E-08
0.65490198,77.6140392,5.61E-07,1.24E-08
0.65882349,83.79703167,4.67E-07,1.05E-08
0.66274512,88.10582676,3.80E-07,9.20E-09
0.66666663,99.65879604,3.04E-07,6.40E-09
0.67058825,98.03832462,2.35E-07,6.55E-09
0.67450976,106.4771231,1.77E-07,5.96E-09
0.67843139,59.34553541,1.27E-07,9.91E-09
0.6823529,51.59877316,8.78E-08,8.41E-09
0.68627453,75.03850107,6.32E-08,4.64E-09
0.69019604,141,3.67E-08,4.95E-09
0.69411767,156,2.08E-08,3.18E-09
0.69803917,138,1.03E-08,1.78E-09
0.7019608,92,3.77E-09,8.00E-10
0.70588231,77,-6.03E-11,2.53E-10
0.70980394,53.83140012,-9.66E-09,1.21E-08
0.71372545,64.00000006,-6.15E-09,1.01E-08
0.71764708,77.00000005,-6.86E-09,7.04E-09
0.72156858,71.00000009,-7.94E-09,1.12E-08
0.72549021,64,-2.23E-10,2.37E-10
0.72941172,71.00000012,-7.06E-09,9.31E-09
0.73333335,73.99999992,-8.53E-09,1.16E-08
0.73725486,58.00000012,-4.33E-09,9.64E-09
0.74117649,74,-7.35E-09,8.89E-09
0.74509799,66.99999996,-6.22E-09,9.16E-09
0.74901962,62.00000005,-6.13E-09,1.12E-08
0.75294113,70.00000019,-6.90E-09,9.46E-09
0.75686276,65,-1.69E-10,2.33E-10
0.76078427,64.00000018,-5.99E-09,9.97E-09
0.7647059,72.00000012,-6.79E-09,8.48E-09
0.76862741,65.00000008,-6.54E-09,1.07E-08
0.77254903,73.00000017,-6.73E-09,8.13E-09
0.77647054,58,-5.04E-09,1.10E-08
0.78039217,63.00000004,-7.11E-09,1.28E-08
0.78431368,70.00000006,-7.49E-09,1.06E-08
0.78823531,69.00000006,-6.92E-09,9.87E-09
0.79215682,64.00000007,-6.41E-09,1.09E-08
0.79607844,59.00000007,-4.98E-09,1.04E-08
0.79999995,75.00000007,-8.30E-09,1.06E-08
0.80392158,71.99999995,-5.71E-09,6.68E-09
0.80784309,69.99999998,-6.92E-09,9.49E-09
0.81176472,61.99999985,-4.64E-09,8.49E-09
0.81568629,61.99999948,-4.75E-09,8.63E-09
