group_index,differential_level,amplitude,mean,std_dev
1,0,64,-8.636726609197336e-10,1.350366869838614e-09
1,0.0039215689,55.9980281351302,1.906918986626749e-07,1.035450434301777e-08
1,0.0078431377,57.97746374025078,1.92701402032989e-07,1.019757864891587e-08
1,0.011764707,54.95307203367406,1.962805494596179e-07,9.831230379992453e-09
1,0.015686275,54.03699339356766,1.966600821002368e-07,9.309753542256926e-09
1,0.019607844,58.13731520080514,1.933294384382312e-07,8.345510081085515e-09
1,0.023529414,54.64207279517306,1.874015283563661e-07,8.609448262500227e-09
1,0.027450982,55.78061052269141,1.803656384324434e-07,7.768817845776291e-09
1,0.031372551,57.32547654532805,1.722942339578362e-07,7.625411049765292e-09
1,0.035294119,53.98647591319828,1.638728597572716e-07,7.085233564079049e-09
1,0.039215688,55.22009090374239,1.559803405552874e-07,6.945220346021488e-09
1,0.043137256,54.15557337285971,1.493132303630244e-07,6.426660923846838e-09
1,0.047058828,57,1.42839483149e-07,6.17651907148697e-09
1,0.050980397,58.14250471999234,1.384441310090965e-07,5.489843722392796e-09
1,0.054901965,58.34637619680358,1.352947345693976e-07,5.703842327243557e-09
1,0.058823533,55.31916224190968,1.326443208276026e-07,5.705838735246145e-09
1,0.062745102,57.16850740812168,1.317020370033062e-07,5.26807641806448e-09
1,0.06666667,60.44374048201485,1.326173274735863e-07,5.907332030453978e-09
1,0.070588239,52.96521746386086,1.355025121349589e-07,5.382038901891767e-09
1,0.074509807,60,1.3972081673e-07,5.524872948860802e-09
1,0.078431375,53.81466009473235,1.451559674978597e-07,6.135639151370518e-09
1,0.082352944,56.39017540389072,1.527181458587398e-07,6.392363113160593e-09
1,0.086274512,56.88011323007672,1.613063946692492e-07,7.661536616858317e-09
1,0.090196081,55.07293836960119,1.71960195350735e-07,7.588301278082956e-09
1,0.094117656,58.34024610818886,1.845183230698887e-07,7.272835286215732e-09
1,0.098039225,56.84485583311439,1.990758637904899e-07,8.142176164505262e-09
1,0.10196079,56.24713902464848,2.16056325310235e-07,7.912399571135731e-09
1,0.10588236,59.31814453496002,2.349771444836948e-07,9.020369582258181e-09
1,0.10980393,57.22517341597146,2.561517244050907e-07,9.105895415715739e-09
1,0.1137255,55.45795617533462,2.792832918387901e-07,9.717608729425312e-09
1,0.11764707,56.2264101576474,3.049611390907217e-07,9.987099978246292e-09
1,0.12156864,55.76923393476356,3.328128216655902e-07,1.077532657261759e-08
1,0.1254902,54.98513474154312,3.631426177414471e-07,1.22136710853602e-08
1,0.12941177,57.7965670686241,3.958939645740754e-07,1.337609824661012e-08
1,0.13333334,54.27812795809167,4.320772836959657e-07,1.371579547454614e-08
1,0.13725491,56.71682473269192,4.696484309304926e-07,1.470643288080519e-08
1,0.14117648,56.45241054807222,5.09914578213996e-07,1.641905485148418e-08
1,0.14509805,56.33731170975675,5.550379512896494e-07,1.686928324843349e-08
1,0.14901961,54.89083826649376,6.011673654937523e-07,1.668037294595981e-08
1,0.15294118,56.01565694723242,6.492015819238436e-07,1.830593180971686e-08
1,0.15686275,59.84715474313253,7.03646019189126e-07,2.006634452794621e-08
1,0.16078432,51.35277680884338,7.573420436947887e-07,2.227921475612048e-08
1,0.16470589,55.72755058129292,8.134555587924208e-07,2.251751197794881e-08
1,0.16862746,55.42258366253224,8.706271804462771e-07,2.465255876371962e-08
1,0.17254902,55.16977125611952,9.359607493916774e-07,2.611360189993806e-08
1,0.17647059,54.90302356787314,9.99194216657401e-07,2.748150787591071e-08
1,0.18039216,58.32047412738456,1.068384397984564e-06,3.029125227350779e-08
1,0.18431373,51.5515915439849,1.140256322938185e-06,3.127280133143702e-08
1,0.18823531,54.42445877401931,1.215325095055436e-06,3.089779580197966e-08
1,0.19215688,53.75899254870406,1.292276201725188e-06,3.371182944217267e-08
1,0.19607845,56.39213286705486,1.374347971398648e-06,3.668974613605021e-08
1,0.20000002,58.25502366642823,1.461964773431013e-06,3.860904649334612e-08
1,0.20392159,53.94424169986357,1.551380973275286e-06,4.222306731274263e-08
1,0.20784315,54.81020387759642,1.642411589210854e-06,4.514351912286751e-08
1,0.21176472,58.4041773599344,1.744001872186568e-06,4.607524365613863e-08
1,0.21568629,57.40036306395018,1.846260645459806e-06,4.868764083634035e-08
1,0.21960786,56.27057866742061,1.954010438259672e-06,5.41803681559993e-08
1,0.22352943,55.23870457759967,2.064933759593462e-06,5.590374158089747e-08
1,0.227451,54.04942670158609,2.186613581480807e-06,5.281720661936868e-08
1,0.23137257,54.66408834701304,2.303815579301371e-06,5.636366421445033e-08
1,0.23529413,53.99225861925768,2.426772283227818e-06,5.926767600942552e-08
1,0.2392157,60.12038567194333,2.55230946402836e-06,6.471102016047761e-08
1,0.24313727,54.30844510137465,2.673730315361215e-06,6.366318119233666e-08
1,0.24705884,55.81739855044997,2.797620486460156e-06,7.014235983548282e-08
1,0.25098041,52.36990545354686,2.929927396841678e-06,6.271846578626319e-08
1,0.25490198,52.9716507044704,3.057075160792591e-06,7.660587198256976e-08
1,0.25882354,57.25756007701811,3.183632524272746e-06,7.958374645782288e-08
1,0.26274511,57.9733431524972,3.315248791328079e-06,8.053261543145551e-08
1,0.26666668,55.48629945848102,3.441118940215797e-06,8.252669952882063e-08
1,0.27058825,55.55626841677903,3.564841378251042e-06,8.390447226137011e-08
1,0.27450982,54.62967367217868,3.692041004905039e-06,8.829519669191732e-08
1,0.27843139,53.5211140888914,3.815689821643528e-06,9.227131564456539e-08
1,0.28235295,56.82351974761441,3.941429225425318e-06,8.605990503097008e-08
1,0.28627452,57.31005177916842,4.059850886979242e-06,8.968922300448811e-08
1,0.29019609,55.68226271035339,4.171521431395035e-06,9.160410666036574e-08
1,0.29411766,56.99386920510652,4.287530268287931e-06,8.785698797539367e-08
1,0.29803923,56.33329438651404,4.404237512423557e-06,8.374444712200127e-08
1,0.3019608,54.04458473930823,4.507436792273942e-06,9.095836447733685e-08
1,0.30588236,56.59127861390207,4.610618505052799e-06,9.396333932144193e-08
1,0.30980393,56.14144292026379,4.709882094691342e-06,8.418861702237374e-08
1,0.3137255,56.96156552459038,4.807996632199945e-06,8.457402805442229e-08
1,0.31764707,55.28281233824107,4.90288276658191e-06,8.368347578147303e-08
1,0.32156864,56.18166826048067,4.996157411617532e-06,8.027021922806051e-08
1,0.32549021,55.7149853120136,5.067024043059944e-06,8.025327705381892e-08
1,0.32941177,55.13492684057665,5.14454346961778e-06,7.819847099481761e-08
1,0.33333334,57.26736926547323,5.230840355760487e-06,8.161053091851572e-08
1,0.33725491,54.3820833215394,5.292272215587269e-06,7.836370712019155e-08
1,0.34117648,54.24944437976208,5.367621475454821e-06,7.751855799576916e-08
1,0.34509805,52.6060395257411,5.437150686662814e-06,7.800228303175849e-08
1,0.34901962,55.59345797449282,5.497418206506498e-06,7.645532809930362e-08
1,0.35294119,57.79302224476996,5.567445474092544e-06,7.97004598280893e-08
1,0.35686275,55.95191496629793,5.617361640061029e-06,7.839800038878828e-08
1,0.36078432,56.41433906113691,5.664961908868586e-06,7.854701271256825e-08
1,0.36470589,56.3851928600831,5.717734577877048e-06,6.752619658235064e-08
1,0.36862746,57.1011025860138,5.768252919933409e-06,7.225172364245983e-08
1,0.37254903,55.29626654825617,5.810543483144594e-06,7.216022238689398e-08
1,0.37647063,58.97383970044068,5.851638303859293e-06,7.106116867635752e-08
1,0.38039219,53.74400797448101,5.886755980421599e-06,6.872697628722185e-08
1,0.38431376,61.91090698078284,5.925076586199864e-06,6.560592950136718e-08
1,0.38823533,55.40978393878772,5.956828958915393e-06,6.083894297109557e-08
1,0.3921569,59.13333948628318,5.985254706749374e-06,6.165268041919389e-08
1,0.39607847,54.98623289107138,6.006672302267089e-06,5.868874714019051e-08
1,0.40000004,55.6235572173355,6.028706725393887e-06,6.093213338829257e-08
1,0.4039216,53.73298268010873,6.054981420572042e-06,5.322173359955852e-08
1,0.40784317,55.04984626539917,6.085047714917909e-06,6.152380919376028e-08
1,0.41176474,63.20704037509719,6.120075086060776e-06,7.008103948415834e-08
1,0.41568631,69.72903867418664,6.131274335965289e-06,6.496172906269828e-08
1,0.41960788,91.61392160972635,6.181766629392786e-06,8.439815177762832e-08
1,0.42352945,83.15876146372385,6.164606322130375e-06,7.231829590456123e-08
1,0.42745101,200.1784492474947,6.273339971797302e-06,1.095800515039651e-07
1,0.43137258,77.52817296188179,6.162794736642332e-06,7.891128195399259e-08
1,0.43529415,58.78247299643674,6.107996647739343e-06,6.75239090108364e-08
1,0.43921572,53.10467881830921,6.081059137920248e-06,5.207138819574336e-08
1,0.44313729,55.34053025717788,6.054975067023931e-06,5.160439157102666e-08
1,0.44705886,54.7060316550518,6.039885344176049e-06,5.116443859588129e-08
1,0.45098042,54.85139792197072,6.010870261891576e-06,5.487390359254781e-08
1,0.45490199,57.24450136060366,5.981689776526705e-06,5.367066750920331e-08
1,0.45882356,56.04549876091476,5.952959852049255e-06,5.790554276401881e-08
