level_index,differential_level,group_index,sample_count,mean,std_dev,minimum,q01,q05,q25,median,q75,q95,q99,maximum
0,0.0,1,400,-8.636422896355754e-10,1.3526965287678005e-09,-5.4734195e-09,-4.321653452876717e-09,-3.2556243256820494e-09,-1.5599531943966127e-09,-7.487289122032337e-10,-4.495932705989025e-12,1.1805158683930705e-09,2.366343001547476e-09,3.1462009e-09
0,0.0,2,400,-8.459917054143718e-10,1.3982355324172088e-09,-7.629851e-09,-5.09009715710107e-09,-3.3112395603218654e-09,-1.5037425749042654e-09,-7.462798434776374e-10,-4.246240837245396e-12,1.2044567232472045e-09,2.4184453950581987e-09,3.2325973e-09
0,0.0,3,400,-8.445564305846128e-10,1.4777462820871944e-09,-5.5914686e-09,-4.604699439525461e-09,-3.4596157383326443e-09,-1.5704026135043847e-09,-7.839968396705643e-10,5.327931932447294e-11,1.400661187034302e-09,2.910785090737277e-09,3.7641814e-09
0,0.0,4,400,-8.691562884655893e-10,1.4950234928331483e-09,-5.8844107e-09,-5.119912316331465e-09,-3.495541989195771e-09,-1.5506722017555319e-09,-7.177971272920303e-10,5.604315947947691e-12,1.3671784759861068e-09,2.8302968035909257e-09,3.1812595e-09
0,0.0,5,400,-8.816430082379031e-10,1.6570699738488805e-09,-6.1416854e-09,-5.230278392609478e-09,-3.5501048878394663e-09,-1.734152293986213e-09,-7.654511191557134e-10,2.645738142459386e-10,1.6426745186315363e-09,3.029906496809786e-09,3.3252245e-09
0,0.0,6,400,-9.29063164222324e-10,1.538291678144372e-09,-6.33669e-09,-5.0740528045878364e-09,-3.6109239154313854e-09,-1.6681192815948265e-09,-7.465749130020072e-10,-2.1184629137721567e-11,1.4164409867234406e-09,2.546255550850417e-09,3.4073526e-09
0,0.0,7,400,-9.637959758025065e-10,1.5227220796718267e-09,-6.3567716e-09,-4.739462502456604e-09,-3.622453503826506e-09,-1.7898842130659176e-09,-7.844634386522387e-10,1.3645764856615172e-11,1.2584323416664489e-09,2.523222031314276e-09,4.1477315e-09
0,0.0,8,400,-8.502923553243506e-10,1.5962591822853155e-09,-5.609651e-09,-4.69043698547722e-09,-3.884208221727192e-09,-1.6170821626193543e-09,-6.666179275249817e-10,2.0013058571466402e-10,1.3910647578274631e-09,2.6555948795525794e-09,3.960703e-09
0,0.0,9,400,-7.201296446299448e-10,1.2791908225288877e-09,-4.3240926e-09,-3.7014297515902684e-09,-2.8672039520394322e-09,-1.4079024335256207e-09,-6.597787038931102e-10,1.1873892927921625e-11,1.3245952834584043e-09,2.3465382770204688e-09,3.8358925e-09
0,0.0,10,400,-7.33474331006379e-10,1.1925148971270534e-09,-4.735197e-09,-3.743682714940632e-09,-2.7802209201510664e-09,-1.299588464620527e-09,-6.671513896883141e-10,-1.797587469501427e-11,1.1481541772884174e-09,2.1201443756169165e-09,2.5493032e-09
0,0.0,11,400,-7.143963748026299e-10,1.0990490026823614e-09,-4.353366e-09,-3.6792346791436614e-09,-2.6939632635780695e-09,-1.3023150058355526e-09,-6.313634060006734e-10,1.4412399225449679e-11,8.603900536474624e-10,1.7308263022819396e-09,2.574327e-09
0,0.0,12,400,-5.830687344526636e-10,1.063505886522846e-09,-4.0726715e-09,-3.4270078264064807e-09,-2.642806473662773e-09,-1.0536149175344178e-09,-5.051700724401087e-10,1.0684164317154021e-10,1.0863686339401813e-09,1.7724502698879249e-09,2.2453404e-09
0,0.0,13,400,-6.92000711664505e-10,1.1077368404643241e-09,-5.9399876e-09,-3.495325187063969e-09,-2.5808968628915353e-09,-1.2850011610332501e-09,-6.020278997542761e-10,1.070783132300912e-11,9.250152172013392e-10,1.6311601147567204e-09,2.3808366e-09
0,0.0,14,400,-6.370382179187937e-10,1.0547211615613192e-09,-4.3644492e-09,-3.3053854187059526e-09,-2.4538905574189584e-09,-1.162488993955435e-09,-5.738559627488371e-10,1.210121551575849e-10,8.693348457766689e-10,1.637435579349144e-09,2.0255333e-09
0,0.0,15,400,-5.867521741262718e-10,9.873351855306442e-10,-3.4804242e-09,-3.1972091352194807e-09,-2.1539898420463998e-09,-1.0789108217945653e-09,-5.405294545290928e-10,2.420846856310277e-11,9.147022861366592e-10,1.7668700513784315e-09,2.1391295e-09
0,0.0,16,400,-5.95225705455997e-10,9.83232993854319e-10,-4.309921e-09,-3.077079817614958e-09,-2.3431340312463076e-09,-1.0697255026226316e-09,-4.864948166538596e-10,-2.9445609145417606e-11,7.332455281838771e-10,1.9104097237487836e-09,2.548989e-09
1,0.0039215689,1,400,1.9180418266984134e-07,1.1200050458049265e-08,1.663672e-07,1.7045677523697124e-07,1.7619870504859136e-07,1.8419679292946967e-07,1.9119139693657417e-07,1.989612918862349e-07,2.107521787308997e-07,2.1698328978914105e-07,2.5160466e-07
1,0.0039215689,2,400,-1.5877595365050308e-10,2.2027709451488602e-10,-5.4445853e-10,-5.156152016461136e-10,-4.726052826864447e-10,-3.7315029538520506e-10,-1.548419656383082e-10,4.049570661440738e-11,1.830218268605854e-10,2.1566832972275128e-10,2.4394958e-10
1,0.0039215689,3,400,-1.694699793518273e-10,2.2658541306850275e-10,-5.431176e-10,-5.182392015523618e-10,-4.910218981413195e-10,-3.801609721465482e-10,-1.7744019448207027e-10,4.3552805459312616e-11,1.8068323504039082e-10,2.127254417061406e-10,2.7876546e-10
1,0.0039215689,4,400,-1.7058254952128337e-10,2.495248945183355e-10,-6.185128e-10,-5.640138728280064e-10,-5.288205512377076e-10,-4.142937728990326e-10,-1.8332193402192942e-10,5.548737858074304e-11,1.8720917732695232e-10,2.496477916058559e-10,2.8977384e-10
1,0.0039215689,5,400,-1.8187508719447015e-10,2.570599943802346e-10,-6.239354e-10,-5.907735600718666e-10,-5.29715171726508e-10,-4.2836249131150694e-10,-1.801461965711404e-10,5.833218977291388e-11,2.1934946567436772e-10,2.4795399095056675e-10,3.2193234e-10
1,0.0039215689,6,400,-1.934624858457388e-10,2.635704701827434e-10,-6.353729e-10,-6.018943787822195e-10,-5.57423660008105e-10,-4.474756884476072e-10,-2.1511067926915928e-10,7.297660739591372e-11,1.8758973818755448e-10,2.4149429012076945e-10,2.9103267e-10
1,0.0039215689,7,400,-1.5889221518703389e-10,2.6147679870715607e-10,-6.1145494e-10,-5.803480429555918e-10,-5.385891566067613e-10,-4.2298574365329245e-10,-1.5377139839234388e-10,9.720143613611842e-11,1.9923221683537656e-10,2.4399312625877907e-10,2.6257083e-10
1,0.0039215689,8,400,-1.361679584821647e-10,2.346266249466519e-10,-5.8367944e-10,-5.302977429400002e-10,-4.952176946293463e-10,-3.562151407177083e-10,-1.322477266585409e-10,8.671132388504699e-11,1.9154065902804418e-10,2.301120057002226e-10,2.6395078e-10
1,0.0039215689,9,400,-1.4045195463531935e-10,2.1025522488673898e-10,-4.9071336e-10,-4.823698496192463e-10,-4.512532666978153e-10,-3.339845622285509e-10,-1.467803725785366e-10,6.22529441191011e-11,1.665733759259602e-10,2.1246814863040692e-10,2.3847935e-10
1,0.0039215689,10,400,-1.408449331322852e-10,1.9739504612918688e-10,-4.8776544e-10,-4.51404411072609e-10,-4.057570168747304e-10,-3.354910863007099e-10,-1.3856834429892828e-10,4.670284298180505e-11,1.537018567976389e-10,1.865747198404044e-10,2.0532484e-10
1,0.0039215689,11,400,-1.1334912276551824e-10,1.8179513060730753e-10,-4.2029366e-10,-3.904050413505722e-10,-3.6229514249752627e-10,-2.8731245160784624e-10,-1.2315852504496405e-10,6.841829880421813e-11,1.555477788239834e-10,1.9516710761391386e-10,2.519529e-10
1,0.0039215689,12,400,-1.1435850981943943e-10,1.7960353344835965e-10,-4.4234963e-10,-3.9969026394137687e-10,-3.583151345076807e-10,-2.931894102498056e-10,-1.241119429451487e-10,6.129860161130374e-11,1.3932294762319936e-10,1.6747403214223406e-10,1.884929e-10
1,0.0039215689,13,400,-1.1724415371395547e-10,1.8171231104896998e-10,-4.3371776e-10,-4.1879329448768486e-10,-3.8765334414714304e-10,-2.933229908963497e-10,-1.1991448806147886e-10,5.717898377000097e-11,1.4257341349188655e-10,1.6647046338635894e-10,2.0312695e-10
1,0.0039215689,14,400,-1.0347590419874843e-10,1.800925192651385e-10,-4.1739923e-10,-3.967587114406257e-10,-3.686227739718717e-10,-2.8932101159284684e-10,-8.663711761891513e-11,6.134185000228332e-11,1.4776778411995648e-10,1.690761054773393e-10,1.81836e-10
1,0.0039215689,15,400,-1.2552315239034837e-10,1.678221009034656e-10,-4.1582018e-10,-3.8077838215855306e-10,-3.5417811322657754e-10,-2.8938598739536303e-10,-1.2416035560791627e-10,2.791300567420163e-11,1.2580544037077418e-10,1.6102380248628197e-10,1.9753466e-10
1,0.0039215689,16,400,-1.1627439435840095e-10,1.67117579462092e-10,-4.0989415e-10,-3.755421076889753e-10,-3.4738341231355106e-10,-2.72257258404629e-10,-1.2423199968747412e-10,5.201259561937732e-11,1.3549791288980357e-10,1.580717517990493e-10,1.7961513e-10
2,0.0078431377,1,400,1.9312101251500735e-07,1.0529955381439076e-08,1.641221e-07,1.7211234435876576e-07,1.7588907255117193e-07,1.8554873904008673e-07,1.925197850027871e-07,2.0042770287886924e-07,2.1001106844664717e-07,2.1641905533442697e-07,2.3375742e-07
2,0.0078431377,2,400,-1.5507428301436524e-10,2.426712417498285e-10,-5.412998e-10,-5.148210202587933e-10,-4.810911086172708e-10,-3.980815607707022e-10,-1.6662645568876755e-10,9.630121526604807e-11,1.8774475862848305e-10,2.4579014573644636e-10,3.0295189e-10
2,0.0078431377,3,400,-1.603880257251833e-10,2.3958578884171787e-10,-5.621273e-10,-5.347368725594492e-10,-4.911771100957196e-10,-4.0666546519130264e-10,-1.7015752695748176e-10,8.389535073594079e-11,1.881499893385818e-10,2.2705593738514544e-10,2.5906824e-10
2,0.0078431377,4,400,-1.9027882459823985e-10,2.401251434986825e-10,-5.737762e-10,-5.490474325187122e-10,-5.196593488854262e-10,-4.142749476798713e-10,-2.0963378255522969e-10,1.9943876845146535e-11,1.8321658981634838e-10,2.2641037822346276e-10,2.8719932e-10
2,0.0078431377,5,400,-1.6967156497935816e-10,2.697630717446608e-10,-6.129058e-10,-5.846125999964258e-10,-5.446061240865774e-10,-4.3480977152121625e-10,-1.7845132316285373e-10,9.812712101209264e-11,2.2666124324666187e-10,2.960119196981914e-10,3.1346722e-10
2,0.0078431377,6,400,-1.697403536346856e-10,2.582212953833792e-10,-6.183234e-10,-6.066239588431444e-10,-5.436189609575592e-10,-4.165190067850766e-10,-1.756893866500242e-10,7.041929886431042e-11,2.057109461939265e-10,2.4060961695271385e-10,2.5001676e-10
2,0.0078431377,7,400,-1.5125296892997546e-10,2.543098438305687e-10,-6.4464234e-10,-5.734890035080653e-10,-5.248427442650083e-10,-4.0114525590162486e-10,-1.345171890543284e-10,9.347942558912692e-11,1.9379335636227066e-10,2.4068553539091644e-10,2.8787644e-10
2,0.0078431377,8,400,-1.6208550883140947e-10,2.374355441928622e-10,-5.7570254e-10,-5.33976866057273e-10,-4.934472080941888e-10,-3.8607095298459626e-10,-1.7784465566883512e-10,6.896621988772278e-11,1.9659602210064773e-10,2.2901578758394157e-10,2.5860375e-10
2,0.0078431377,9,400,-1.5525887070346605e-10,2.1677349827545911e-10,-5.1526716e-10,-4.745282644602611e-10,-4.5037740065145824e-10,-3.6464547353842747e-10,-1.7726321799305111e-10,6.61537404716972e-11,1.7150724035408505e-10,2.1255727594704505e-10,2.5793448e-10
2,0.0078431377,10,400,-1.2985110029166847e-10,1.895917265586304e-10,-4.7222043e-10,-4.438310222121267e-10,-4.0253508720722306e-10,-3.095331352342967e-10,-1.450676662129169e-10,5.424863943476188e-11,1.4410828641509e-10,1.7549493525059733e-10,2.0018896e-10
2,0.0078431377,11,400,-1.0932512261495547e-10,1.7985493937626512e-10,-4.0429293e-10,-3.859496203184598e-10,-3.646845728177972e-10,-2.9131434070572837e-10,-1.1143995795603878e-10,5.955658188838697e-11,1.4533049000342573e-10,1.9032931897200452e-10,2.0629586e-10
2,0.0078431377,12,400,-9.509750667003377e-11,1.8071097633331347e-10,-4.2708198e-10,-3.889845925919566e-10,-3.610270096765511e-10,-2.8022784093195696e-10,-8.460211697869369e-11,8.468196109612247e-11,1.5476546016968128e-10,1.7291509557537662e-10,2.375986e-10
2,0.0078431377,13,400,-1.1145358156511558e-10,1.8889558510119595e-10,-4.4016463e-10,-4.2061234273305106e-10,-3.931812875279661e-10,-2.946158456085257e-10,-9.849631874003784e-11,6.542783675955732e-11,1.5294483665662098e-10,1.8712424068589862e-10,1.9300224e-10
2,0.0078431377,14,400,-1.1498492218840967e-10,1.811573560540864e-10,-4.3985698e-10,-4.08164091691976e-10,-3.729173483901782e-10,-2.8895855153088235e-10,-1.128360287150354e-10,5.725090020114454e-11,1.4278014048851865e-10,1.7332004192960325e-10,2.1794631e-10
2,0.0078431377,15,400,-1.1484696449382513e-10,1.7199622465006337e-10,-4.0915316e-10,-3.8470698487946817e-10,-3.493672282028903e-10,-2.807560295359224e-10,-1.1615513759166696e-10,5.209295668440195e-11,1.4505430745437302e-10,1.7889361783596235e-10,1.8669424e-10
2,0.0078431377,16,400,-1.1974661277830552e-10,1.5593831064981425e-10,-3.976552e-10,-3.7201396546615585e-10,-3.3266562560196885e-10,-2.6773264855117773e-10,-1.2464723003757783e-10,3.298213611946377e-11,1.2055616088746386e-10,1.4975878925849172e-10,1.6891538e-10
3,0.011764707,1,400,1.9646525650784952e-07,1.0311004018732637e-08,1.6749581e-07,1.728610267548447e-07,1.8004774346991325e-07,1.8916067645591284e-07,1.9658348549000948e-07,2.0339335193853003e-07,2.1272207106903807e-07,2.221222123921507e-07,2.2567706e-07
3,0.011764707,2,400,-1.4407631875360764e-10,2.2035827586084507e-10,-5.581099e-10,-5.096070865295843e-10,-4.600211572780566e-10,-3.478894880504235e-10,-1.612078595614186e-10,6.512605559005902e-11,1.8403155804813653e-10,2.2749007316802397e-10,2.6076538e-10
3,0.011764707,3,400,-1.4630862202758694e-10,2.3362923793058625e-10,-5.8025373e-10,-5.327330465654257e-10,-4.963720073858369e-10,-3.6353423049639844e-10,-1.3867961640157134e-10,7.730829691687813e-11,1.814151474877068e-10,2.2452529113703433e-10,2.6126856e-10
3,0.011764707,4,400,-1.7097256483299648e-10,2.4985112960788805e-10,-6.132661e-10,-5.89864505573523e-10,-5.143174497401759e-10,-4.1970353581444186e-10,-1.8190585149291394e-10,7.9693919866064e-11,1.8999699522015388e-10,2.5289345756407397e-10,2.7507166e-10
